id	name	code1	з1	з2	з3	з4	з5	дост	temp1	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	lk1	lk2	lk3	lk4	cat	cat2	url	path	ord	code2	code3	4310	4326	43114	43118	43261	4350	6450	prim	prim2	img_path	img1	img2	img3	img4	img5	par1	text1	par2	text2	par3	text3	w	h	l	m	desc	Comment	desc1
359	Диск нажимной (корзина) сцепления с кожухом	142-1601090	10 471	11 006			0-	1-1	-	12 040	завод		аналог Наб.Челны					14-1601090-10	#REF!	#REF!	5320-1609510	Сцепление		disk-nazhimnoj-korzina-stsepleniya-s-kozhuhom-142.1601090	/kamaz-4310/catalog/zapchasti/	359				1	1		1			КамАЗ-4326, КамАЗ-5315, КамАЗ-65115, КамАЗ-5297, КамАЗ-43114, КамАЗ-4326, 740.31-240 (Евро 2), КамАЗ-53228, 65111, КамАЗ-43261 (Евро-1, 2), Д-260.5Е3.		/kamaz-4310/img/zap/	142.1601090_2.jpg											0.11	0.412	0.412		Штампованный на ПРЗ кожух, кованные рычаги. Двойные нажимные пружины. 		
361	Диск шарнира ШРУС - Шарнир равных угловых скоростей	4310-2304067	1 760				0-	1-1	1 980	2 850	завод, в наличии, кованный 'пятак-шайба'	8 550	комплект вкладыши + диск, нет в наличии					4310-2304066	4310-2304067	4310-2304062		Мост передний		disk-sharnira-4310-2304067	/kamaz-4310/catalog/zapchasti/	361			1	1	1	1	1	1	1	КамАЗ-4310, КамАЗ-4326, КамАЗ-43114, КамАЗ-43118, КамАЗ-53228, 65111,  КамАЗ-53501 (6х6), КамАЗ-53504 (6х6), КамАЗ-6450 8х8, КамАЗ-63501 8х8, КамАЗ-4350 (4х4), КамАЗ-5350 (6х6), КамАЗ-6350 (8х8), КамАЗ-43261 (Евро-1, 2).		/kamaz-4310/img/zap/	4310-2304067_2.jpg											0.098	0.027	0.098	1.56			
363	Дифференциал заднего моста (50 зубьев)	53229-2403011-20					-	-	-	-	завод, под заказ		аналог Наб.Челны					65111-1802152-10	43114-1802152			Редуктор	Диф	differentsial-zadnego-mosta-53229-2403011-20	/kamaz-4310/catalog/zapchasti/	363				1	1	1	1	1	1	КамАЗ-43114, КамАЗ-43118, КамАЗ-4326, КамАЗ-43261 (Евро-1, 2), КамАЗ-4350 (4х4), КамАЗ-43501 (4х4), КамАЗ-53228, 65111, 		/kamaz-4310/img/zap/	53229-2403011-20_differentsial_zadnego_mosta_v_sbore_2.jpg														42.3	i=7,22		
365	Дифференциал РК (раздаточной коробки) 44 зубьев в сборе	65111-1802152-10	95 750	86 000	80 010	86 000	1-1	1-1	98 460	104 300	самосбор из заводских запчастей	82 240	аналог Наб.Челны	115 400	завод			4310-1802150	43114-1802152	65111-1802155-10	65111-1802085-10	Коробка раздаточная	Диф	differentsial-rk-razdatochnoj-korobki-v-sbore-65111-1802150-10	/kamaz-4310/catalog/zapchasti/	365	65111-1802150-10			1	1	1	1	1	1	КамАЗ-43114, КамАЗ-43118, КамАЗ-53228, 65111, КамАЗ-43261 (Евро-1, 2).		/kamaz-4310/img/zap/	65111-1802150-10_2.jpg	65111-1802150-10_1.jpg										0.24	0.24	0.47	51	Дифференциал 65111-1802150-10 это подсборочный узел для конвейерной сборки и в запасные части не должен поступать, так как в состав данного узла не входят подшипники в сборе. Нет наружного кольца. Для запасных частей предусмотрен дифференциал 65111-1802152-10		
367	Дифференциал РК (раздаточной коробки) в сборе	4310-1802150					-	-	68 400	68 400	завод, с консервации, уточняйте		аналог Наб.Челны	-	заменен на 43114-1802152			43114-1802152	65111-1802152-10	43114-1802155	4310-1802085	Коробка раздаточная	Диф	differentsial-rk-razdatochnoj-korobki-v-sbore-4310-1802150	/kamaz-4310/catalog/zapchasti/	367			1							КамАЗ-4310, КамАЗ-43101		/kamaz-4310/img/zap/	4310-1802150_2.jpg											0.24	0.24	0.47	43.6	Дифферинциал 4310-1802150 снят с производства и заменен на 43114-1802152	Установка 43114 вместо 4310 возможна. Дифференциал 43114 отличается от 4310 следующим: разные обоймы дифференциала, отличающиеся способом крепления к шестерни низшей передачи, и вместо шестерни низшей передачи 4310-1802189 установлена 43114 с  измененной ступицей.	
369	Дифференциал РК (раздаточной коробки) в сборе	43114-1802152	85 000	85 476			0-	-	72 650	93 500	завод		аналог Наб.Челны					4310-1802150	65111-1802152-10	43114-1802155	43114-1802085	Коробка раздаточная	Диф	differentsial-rk-razdatochnoj-korobki-v-sbore-43114-1802150	/kamaz-4310/catalog/zapchasti/	369	43114-1802152			1	1	1	1			КамАЗ-43114, КамАЗ-43118, КамАЗ-4326 (каталог 2003г), КамАЗ-53228, 65111, КамАЗ-43261 (Евро-1, 2)		/kamaz-4310/img/zap/	43114-1802150_2.jpg											0.24	0.24	0.47	43.6	подходит на 4310 (хвостовик под фланец на 10 шлицов), замена на 43114-1802152	 Хвостовик под фланец на 10 шлицов. Установка 43114 вместо 4310 возможна. Дифференциал 43114 отличается от 4310 следующим: разные обоймы дифференциала, отличающиеся способом крепления к шестерни низшей передачи, и вместо шестерни низшей передачи 4310-1802189 установлена 43114 с  измененной ступицей. 43114-1802150 И 43114-1802152  - отличие 152 поставляется в запчасти, т.е. в комплекте с подшипниками. 150 - подшипники без кольца наружного. Сегодня эту РК не выпускают, вместо нее делают 65111. Если Вы приобретете 150 значит Вам надо найти колечки, а они отдельно не продаются. Значит надо покупать подшипник.	
371	Картер привода переднего моста в сборе (4310-, 43114-1802230)	43114-1802230	34 222				1-	-	33 390	39 360	завод		аналог Наб.Челны					65111-1802230-10	4310-1804010			Коробка раздаточная		karter-privoda-perednego-mosta-v-sbore-4310-1802230	/kamaz-4310/catalog/zapchasti/	371			1	1	1	1	1	1		КамАЗ-4310, КамАЗ-43101, КамАЗ-43114, КамАЗ-43118, КамАЗ-4326, КамАЗ-43261 (Евро-1, 2), КамАЗ-53228, 65111, 		/kamaz-4310/img/zap/												0.215	0.28	0.452	17.5			
373	Картер привода переднего моста в сборе	65111-1802230-10	33 781	34 443			1-	1-1	32 960	38 850	завод		аналог Наб.Челны					43114-1802230	4310-1804010			Коробка раздаточная		karter-privoda-perednego-mosta-v-sbore-65111-1802230-10	/kamaz-4310/catalog/zapchasti/	373							1	1	1	КамАЗ-43261 (Евро-1, 2) , КамАЗ-4350 (4х4), КамАЗ-43501 (4х4) 		/kamaz-4310/img/zap/												0.28	0.28	0.486	17.5	Картер используется для защиты кривошипно- шатунного механизма от загрязнений и протечки масла. Так же он выполняет функцию резервуара для хранения моторного масла.<br />Артикул — 65111-1802230-10<br />Дополнительное описание - Картер КАМАЗ-ЕВРО-1, 2 привода переднего моста в сборе (ОАО КАМАЗ)<br />Применение: Применяется для раздаточной коробки и трансмиссии автомобиля.<br />Применение: Применяется для автомобилей КамАЗ-43261 (Евро-1, 2)		
375	Колеса зубчатые ведущее и ведомое конические (комплект после спаривания)	4310-2502020	12 477	12 721			0-	1-1	12 170	14 350	завод		аналог Наб.Челны					4310-1802034	4310-1802189			Мост средний		kolesa-zubchatye-vedushchee-i-vedomoe-konicheskie-komplekt-posle-sparivaniya-4310-2502020	/kamaz-4310/catalog/zapchasti/	375			1	1	1	1	1			КамАЗ-4310, КамАЗ-43101, КамАЗ-4326, КамАЗ-43261 (Евро-1, 2), КамАЗ-5320, КамАЗ-53212, КамАЗ-5410, КамАЗ-54112, КамАЗ-55102, КамАЗ-5511		/kamaz-4310/img/zap/	4310-2502020_2.jpg											0.23	0.185	0.23	11.6	Пара коническая КАМАЗ среднего моста	Комплект конических шестерен СМ	
		5320-2402020	14 300	15 750			0-	-																																																
