id	name	code1	зак1	зак2	мид	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	desc	Comment	prim2	lk1	lk2	lk3	lk4	cat	cat2	url	path	ord	code2	code3	prim	img_path	img1	img2	img3	img4	img5	par1	text1	par2	text2	par3	text3	w	h	l	m	desc1
145	Палец дышла и палец ушка рессоры СЗАП 8543 40/195 (голый)	8527-2902478				350	аналог, Наб.Челны														борта		8527-2902478-palec-dyshla-i-palec-ushka-ressory-szap-8543-40-195-golyj	/kuzov/catalog/	145				/kuzov/img/	8527-2902478.jpg															
147	Палец ушка рессоры 40/180 (ЗИЛ)	8602-2902478				450	аналог, Наб.Челны														борта		8602-2902478-palec-ushka-ressory-40-180-zil	/kuzov/catalog/	147				/kuzov/img/	8602-2902478.jpg														1.54	
149	Палец реактивной штанги СЗАП 36/215 (голый)	9328-2912479				380	аналог, Наб.Челны														борта		9328-2912479-palec-reaktivnoj-shtangi-szap-36-215-golyj	/kuzov/catalog/	149				/kuzov/img/	9328-2912479.jpg														1	
151	Палец ушка рессоры НЕФАЗ 50/195 (голый)	8332-2902478				640	аналог, Наб.Челны							Палец ушка рессоры НЕФАЗ длина 195 мм d-50  Артикул: 8332-2902478  Вес, кг - 2.4							борта		8332-2902478-palec-ushka-ressory-nefaz-50-195-golyj	/kuzov/catalog/	151			НефАЗ / НефАЗ-8332 (2004), НефАЗ / НефАЗ-8332 (2009) (2009), НефАЗ / НефАЗ-8332 (2010) (2010), НефАЗ / НефАЗ-8332 (односкатный) (2011), НефАЗ / НефАЗ-8332 (двускатный) (2011), НефАЗ / НефАЗ-8560 (2005), НефАЗ / НефАЗ-8560 (2008) (2008), НефАЗ / НефАЗ-8332 (односкатный) (2011), НефАЗ / НефАЗ-8560 (2010)	/kuzov/img/	8332-2902478.jpg														2.4	
153	Палец ушка рессоры	4308-2902478			1016,5	1 140	аналог, Наб.Челны							Палец ушка рессоры КАМАЗ (ПАО КАМАЗ)  Артикул: 4308-2902478  Альтернативные описания: Палец КАМАЗ-4308 ушка рессоры (ОАО КАМАЗ)  Производитель: ПАО КАМАЗ  Применяется для ходовой части и подвески автомобиля в моделях КАМАЗ-4308  Ширина, м - 0.04  Высота, м - 0.04  Длина, м - 0.15  Вес, кг – 0.67, подходит на камаз 5490							борта		4308-2902478-palec-ushka-ressory	/kuzov/catalog/	153			КамАЗ-4308 (2004), КамАЗ-4308 (2008) (2008), КамАЗ-5308 (Евро 4) (2013), КамАЗ-5308 (Евро 3) (2012), КамАЗ-4308 (Евро 4) (2012), КамАЗ-6520 (Euro-4) (2012), КамАЗ-6460 (Евро 4) (2013), КамАЗ-5490 (2016), КамАЗ-4308 (Евро 3) (2013), КамАЗ-6522 (Евро-4) (2016), КамАЗ-6520 (Euro-4) (2016)	/kuzov/img/	4308-2902478.jpg											0.145	0.036	0.042	1.36	
155	Петля дышла прицепа (старого образца)	8350-2707042				5 350	<b>в наличии, аналог, Наб.Челны</b>														борта		8350-2707042-petlya-dyshla-starogo-obarazca	/kuzov/catalog/	155				/kuzov/img/	8350-2707042_1.jpg														8.11	
156	Петля дышла прицепа Евро	8602-2707040				6 550	аналог, Наб.Челны														борта		8602-2707040-petlya-dyshla-evro	/kuzov/catalog/	156				/kuzov/img/	8602-2707040.jpg															
157	Гайка петли дышла	8602-27070-48				200	Под ключ 65	220	Под ключ 75 (усил.)												борта		8602-27070-48-gajka-petli-dyshla	/kuzov/catalog/	157				/kuzov/img/	8602-27070-48.jpg															
159	Накладка рессоры	8543-2912412			690	770	аналог, Наб.Челны							под широкую рессору МАЗ на 2-х и 3-х осники							борта		8543-2912412-nakladka-ressory	/kuzov/catalog/	159				/kuzov/img/	8543-2912412.jpg														1.935	
161	Стопор поворотного устройства в сборе с корпусом (без уловителя)	8352-2705001-10				2 200	аналог, Наб.Челны														борта		8352-2705001-10-stopor-povorotnogo-ustrojstva-v-sbore-s-korpusom-bez-ulovitelya	/kuzov/catalog/	161				/kuzov/img/	8352-2705001-10.jpg															
163	Уловитель стопора	8352-2705040			725	810	аналог, Наб.Челны							подходит СЗАП,НЕФАЗ							борта		8352-2705040-ulovitel-stopora	/kuzov/catalog/	163				/kuzov/img/	8352-2705040.jpg															
