url	dir	city	term	cost_dvig	point1	point2	point3	dist_chelny	dist_krasnodar	dist_moscow	latitude	longitude	text1	text2	text3	text4	img1	img2
tomsk	dostavka/tomsk	Томск	6-8	11550	Томская область г. Томск, ул. Пролетарская, д. 38В, стр. 1			2552	4236	3610	56,512004	84,952211	Томск - город, расположенный на востоке Западной Сибири на берегу реки Томь. Старейший в Сибири образовательный, научный и инновационный центр.	Численность населения - 596 тыс. чел.	Со времён постройки Транссиба Томск лишился транзитных грузопотоков и стал локальным транспортным узлом на пути в собственную область.	В Томске действуют предприятия: «Томскнефть», «Востокгазпром», «Газпром трансгаз Томск», «Томскнефтехим», «Томскподводтрубопроводстрой», «Томскнефтепереработка», ФГУП НПО «Вирион», «Томскхимфарм», завод пищевых продуктов «Томский», кондитерская фабрика «Красная звезда», «Томское пиво», дрожжевой завод, «Томские мельницы», «Сибирская аграрная группа», несколько хлебозаводов, две птицефабрики. НПЦ «Полюс», ПО «Контур», «Томский подшипник», «Манотомь» (манометровый завод), «Сибэлектромотор», «Томский инструмент», «Томский электротехнический завод», «Томский электромеханический завод», «Томский электроламповый завод», «Томский завод электроприводов», ЭлеСи, «Микран», научно-производственное предприятие «Томская Электронная Компания».		
tula	dostavka/tula	Тула	2-3	3553	г. Тула, ул. Чмутова, д. 158 В			1232	1170	183	54,20889	37,549935						
tver	dostavka/tver	Тверь	2	3553	г.Тверь, Московское шоссе, д. 18, стр. 1			1219	1515	168	56,835486	35,958303						
tyumen	dostavka/tyumen	Тюмень	4-5	8660	Тюменская область, г. Тюмень, ул. Одесская, д.1, стр. 8			1147	2831	2119	57,1442	65,6041	Тюмень - сибирский город, расположенный на реке Туре, левом притоке Тобола, и являющемся административным центром Тюменской области.	Тюмень насчитывает почти 680 тысяч жителей. 	Автомобильные дороги федерального значения, проходящие через Тюмень: Р351 Екатеринбург -Тюмень. Р401 Тюмень - Аэропорт (Рощино). Р402Тюмень - Ялуторовск - Ишим - Омск (Ялуторовский тракт). Р404 Тюмень - Ханты-Мансийск, через Тобольск, Сургут, Нефтеюганск (Тобольский тракт).	В Тюмени сосредоточены крупные производства, связанные с добычей и переработкой нефтепродуктов: «Сургутнефтегаз», «Нижневартовскнефтегаз», «Ноябрьскнефтегаз», «Юганскнефтегаз» (г. Нефтеюганск), «Уренгойгазпром» (г. Новый Уренгой), «Ямбурггаздобыча». машиностроительные компании: Моторостроительное ПО, АО «Завод автотракторного оборудования». Сургутские ГРЭС-1 и ГРЭС-2, Нижневартовская ГРЭС, энергетические компании, также входят в число крупных предприятий области.		
ufa	dostavka/ufa	Уфа	3-4	6620	Республика Башкортостан, г. Уфа, ул. Сельская Богородская, 57			291	1995	1345	54,787997	56,09008						
ulan-ude	dostavka/ulan-ude	Улан-Удэ	13-14	14439	Республика Бурятия, г. Улан-Удэ, ул. Ботаническая, д. 38/2			4570	6254	5628	51,838696	107,64631						
ulyanovsk	dostavka/ulyanovsk	Ульяновск	3-4	5770	Ульяновская область, г. Ульяновск, Московское шоссе, д.9 а, корп.2			471	1559	889	54,299586	48,294273						
ussurijsk	dostavka/ussurijsk	Уссурийск	19-21	17415	Приморский край, г. Уссурийск, ул. Резервная, 31			7989	9674	9047	43,842759	131,92609						
velikie-luki	dostavka/velikie-luki	Великие Луки	3-4	7300				1537	1806	469								
velikij-novgorod	dostavka/velikij-novgorod	Великий Новгород	1	4675	Новгородская обл, г.Великий Новгород, Район Колмово, Базовый пер., д.13			1587	1879	529	58,551637	31,260581						
